!表層型,!品詞,!活用形,!活用型,!原型,!品詞分類,!前接続0,!前接続1,!後接続0,!後接続1
私,名詞,*,*,私,代名詞,*,*,*,*
あなた,名詞,*,*,あなた,代名詞,*,*,*,*
彼,名詞,*,*,彼,代名詞,*,*,*,*
彼女,名詞,*,*,彼女,代名詞,*,*,*,*
僕,名詞,*,*,僕,代名詞,*,*,*,*
俺,名詞,*,*,俺,代名詞,*,*,*,*
